Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0805_2012Metric,348.96675,-36.48075,0,bottom
C2,22p,C_0805_2012Metric,348.90075,-30.00375,0,bottom
C3,0.1u,C_0805_2012Metric,333.63535,-65.74155,270,bottom
C4,0.1u,C_0805_2012Metric,337.7819,-75.3491,270,bottom
C5,0.1u,C_0805_2012Metric,340.5759,-75.3491,270,bottom
C6,0.1u,C_0805_2012Metric,343.2429,-75.3491,270,bottom
C7,0.1u,C_0805_2012Metric,345.6559,-75.3491,270,bottom
C8,4.7u,C_0805_2012Metric,335.3689,-75.3491,270,bottom
C9,0.1u,C_0805_2012Metric,341.63635,-68.02755,90,bottom
C10,0.1u,C_0805_2012Metric,341.63635,-64.2743,270,bottom
C11,1u,C_0805_2012Metric,337.439,-25.4,270,bottom
D1,D,D_0805_2012Metric,33.3375,-25.4,270,bottom
D2,D,D_0805_2012Metric,57.15,-25.4,270,bottom
D3,D,D_0805_2012Metric,76.2,-25.4,270,bottom
D4,D,D_0805_2012Metric,95.25,-25.4,270,bottom
D5,D,D_0805_2012Metric,114.3,-25.4,270,bottom
D6,D,D_0805_2012Metric,133.35,-25.4,270,bottom
D7,D,D_0805_2012Metric,152.4,-25.4,270,bottom
D8,D,D_0805_2012Metric,171.45,-25.4,270,bottom
D9,D,D_0805_2012Metric,190.5,-25.4,270,bottom
D10,D,D_0805_2012Metric,209.55,-25.4,270,bottom
D11,D,D_0805_2012Metric,228.6,-25.4,270,bottom
D12,D,D_0805_2012Metric,247.65,-25.4,270,bottom
D13,D,D_0805_2012Metric,266.7,-25.4,270,bottom
D14,D,D_0805_2012Metric,285.75,-25.4,270,bottom
D15,D,D_0805_2012Metric,314.325,-25.4,270,bottom
D16,D,D_0805_2012Metric,33.3375,-44.45,270,bottom
D17,D,D_0805_2012Metric,61.9125,-44.45,270,bottom
D18,D,D_0805_2012Metric,85.725,-44.45,270,bottom
D19,D,D_0805_2012Metric,104.775,-44.45,270,bottom
