Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805_2012Metric",361.950000,-32.258000,90.000000,bottom
"C2","0.1u","C_0805_2012Metric",361.950000,-36.322000,270.000000,bottom
"C3","0.1u","C_0805_2012Metric",371.348000,-34.356000,90.000000,bottom
"C4","0.1u","C_0805_2012Metric",47.503080,-32.466280,90.000000,bottom
"C5","0.1u","C_0805_2012Metric",47.503080,-36.042600,270.000000,bottom
"C6","0.1u","C_0805_2012Metric",56.642000,-34.798000,90.000000,bottom
"D_A1","SMD_123","D_SOD-123",117.475000,-74.612500,90.000000,bottom
"D_Alt1","SMD_123","D_SOD-123",134.143750,-112.712500,90.000000,bottom
"D_Alt2","SMD_123","D_SOD-123",274.637500,-112.712500,90.000000,bottom
"D_Apostrophe1","SMD_123","D_SOD-123",307.975000,-74.612500,90.000000,bottom
"D_B1","SMD_123","D_SOD-123",203.200000,-93.662500,90.000000,bottom
"D_BSlash1","SMD_123","D_SOD-123",346.075000,-55.562500,90.000000,bottom
"D_Backspace1","SMD_123","D_SOD-123",341.312500,-36.512500,90.000000,bottom
"D_C1","SMD_123","D_SOD-123",165.100000,-93.662500,90.000000,bottom
"D_Caps1","SMD_123","D_SOD-123",86.518750,-74.612500,90.000000,bottom
"D_Colon1","SMD_123","D_SOD-123",288.925000,-74.612500,90.000000,bottom
"D_Ctrl1","SMD_123","D_SOD-123",86.518750,-112.712500,90.000000,bottom
"D_Ctrl2","SMD_123","D_SOD-123",312.737500,-112.712500,90.000000,bottom
"D_D1","SMD_123","D_SOD-123",155.575000,-74.612500,90.000000,bottom
"D_DArrow1","SMD_123","D_SOD-123",355.600000,-117.475000,90.000000,bottom
"D_E1","SMD_123","D_SOD-123",150.812500,-55.562500,90.000000,bottom
"D_Enter1","SMD_123","D_SOD-123",338.931250,-74.612500,90.000000,bottom
"D_Esc1","SMD_123","D_SOD-123",84.137500,-36.512500,90.000000,bottom
"D_F1","SMD_123","D_SOD-123",174.625000,-74.612500,90.000000,bottom
"D_F13","SMD_123","D_SOD-123",60.325000,-55.562500,90.000000,bottom
"D_F14","SMD_123","D_SOD-123",60.325000,-74.612500,90.000000,bottom
"D_F15","SMD_123","D_SOD-123",60.325000,-93.662500,90.000000,bottom
"D_F16","SMD_123","D_SOD-123",60.325000,-112.712500,90.000000,bottom
"D_F17","SMD_123","D_SOD-123",374.650000,-55.562500,90.000000,bottom
"D_F18","SMD_123","D_SOD-123",374.650000,-74.612500,90.000000,bottom
"D_Fn1","SMD_123","D_SOD-123",293.687500,-112.712500,90.000000,bottom
"D_G1","SMD_123","D_SOD-123",193.675000,-74.612500,90.000000,bottom
"D_H1","SMD_123","D_SOD-123",212.725000,-74.612500,90.000000,bottom
"D_I1","SMD_123","D_SOD-123",246.062500,-55.562500,90.000000,bottom
"D_J1","SMD_123","D_SOD-123",231.775000,-74.612500,90.000000,bottom
