Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C1,0.1u,C_0805_2012Metric,361.95,-32.258,bottom,90
C2,0.1u,C_0805_2012Metric,361.95,-36.322,bottom,270
C3,0.1u,C_0805_2012Metric,371.348,-34.356,bottom,90
C4,0.1u,C_0805_2012Metric,47.50308,-32.46628,bottom,90
C5,0.1u,C_0805_2012Metric,47.50308,-36.0426,bottom,270
C6,0.1u,C_0805_2012Metric,56.642,-34.798,bottom,90
D_A1,SMD_123,D_SOD-123,117.475,-74.6125,bottom,90
D_Alt1,SMD_123,D_SOD-123,134.14375,-112.7125,bottom,90
D_Alt2,SMD_123,D_SOD-123,274.6375,-112.7125,bottom,90
D_Apostrophe1,SMD_123,D_SOD-123,307.975,-74.6125,bottom,90
D_B1,SMD_123,D_SOD-123,203.2,-93.6625,bottom,90
D_BSlash1,SMD_123,D_SOD-123,346.075,-55.5625,bottom,90
D_Backspace1,SMD_123,D_SOD-123,341.3125,-36.5125,bottom,90
D_C1,SMD_123,D_SOD-123,165.1,-93.6625,bottom,90
D_Caps1,SMD_123,D_SOD-123,86.51875,-74.6125,bottom,90
D_Colon1,SMD_123,D_SOD-123,288.925,-74.6125,bottom,90
D_Ctrl1,SMD_123,D_SOD-123,86.51875,-112.7125,bottom,90
D_Ctrl2,SMD_123,D_SOD-123,312.7375,-112.7125,bottom,90
D_D1,SMD_123,D_SOD-123,155.575,-74.6125,bottom,90
D_DArrow1,SMD_123,D_SOD-123,355.6,-117.475,bottom,90
D_E1,SMD_123,D_SOD-123,150.8125,-55.5625,bottom,90
D_Enter1,SMD_123,D_SOD-123,338.93125,-74.6125,bottom,90
D_Esc1,SMD_123,D_SOD-123,84.1375,-36.5125,bottom,90
D_F1,SMD_123,D_SOD-123,174.625,-74.6125,bottom,90
D_F13,SMD_123,D_SOD-123,60.325,-55.5625,bottom,90
D_F14,SMD_123,D_SOD-123,60.325,-74.6125,bottom,90
D_F15,SMD_123,D_SOD-123,60.325,-93.6625,bottom,90
D_F16,SMD_123,D_SOD-123,60.325,-112.7125,bottom,90
D_F17,SMD_123,D_SOD-123,374.65,-55.5625,bottom,90
D_F18,SMD_123,D_SOD-123,374.65,-74.6125,bottom,90
D_Fn1,SMD_123,D_SOD-123,293.6875,-112.7125,bottom,90
D_G1,SMD_123,D_SOD-123,193.675,-74.6125,bottom,90
D_H1,SMD_123,D_SOD-123,212.725,-74.6125,bottom,90
D_I1,SMD_123,D_SOD-123,246.0625,-55.5625,bottom,90
D_J1,SMD_123,D_SOD-123,231.775,-74.6125,bottom,90
D_K1,SMD_123,D_SOD-123,250.825,-74.6125,bottom,90
D_L1,SMD_123,D_SOD-123,269.875,-74.6125,bottom,90
D_LArrow1,SMD_123,D_SOD-123,336.55,-117.475,bottom,90
D_LBrace1,SMD_123,D_SOD-123,303.2125,-55.5625,bottom,90
D_LThan1,SMD_123,D_SOD-123,260.35,-93.6625,bottom,90
D_M1,SMD_123,D_SOD-123,241.3,-93.6625,bottom,90
